Mixture	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Memory_CD4_T_cells	IL1R2_immature_neutrophils	B_cells	Mast_cells_eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4_immature_neutrophils	Non-classical_monocytes	MPO_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs	P-value	Correlation	RMSE
E07T1	0.014703699382531	0.0296681107386593	0.0381024482267764	0.102304611098367	0.0613899543962641	0	0.296049035436154	0.011663624814853	0.0272605660171707	0	0.0525164390003951	0	0.0163399919620401	0.0173798139333532	0.258421509319724	0.0514828890648049	0	0.00303695167828983	0	0.0126725760301358	0	0.00700777890048217	0	0.978292537746378	0.324913919072251
E07T2	0.0201621690973712	0.0572632994746267	0.0532705684201743	0.118080206773281	0.0755795253747647	0.0250492469668703	0.0315076787547002	0.037014478392142	0.0522469980889747	0	0.0390400115894123	0	0.023317518210605	0	0.366101575464915	0.0486584356311512	0	0.0299779947116359	0.00503223661934982	0	0	0.0176980564300257	0	0.976675885571398	0.275273704122991
E07T3	0.00835426390011756	0.0525054974033097	0.0507369587080906	0.0948676611375432	0.0790079521251823	0.000936098999594664	0	0.0360592166705888	0.0598206326254429	0.0108595690880439	0.0244380712797811	0	0.0185838121137759	0.0370300813094077	0.339592174555592	0.045229250956919	0.0846362993476953	0.00543586811681273	0.0298797402510491	0	0.00543834776736076	0.016588503643693	0	0.970702085242689	0.24959498784128
E16T1	0.0212298093274461	0	0.10779882441776	0.148373413518807	0.0444977891081778	0.0299908096754868	0.294423087506853	0.016841599979542	0.00523415016140822	0	0.0452349214562873	0	0.000281196765407284	0.0144494007285935	0.216744862688917	0.0267054430711821	0.0148487260295828	0.00398400401829108	0.000941600779555303	0	0	0.00842036076670347	0	0.963150750744762	0.354646605527313
E16T2	0.0175337646487158	0.0301016151329672	0.0203628232668802	0.18149721843209	0.0105078930091837	0.0186721077254157	0.0708890919220195	0.0214260934199881	0.0134543443513091	0	0.0442930115458309	0	0.0103508173789186	0.0203001887035609	0.361882230931338	0.0381979585888544	0	0.0602542245087381	0.0123773456794595	0.0621453366152739	0	0.00575393413945603	0	0.985844343688252	0.17029340064626
E16T3	0.0220366456846082	0.0277753079156338	0.0433706640070052	0.214748693439334	0.0270309550948116	0.0281242688402738	0	0.0258758047935874	0.0195326799630119	0.0611600259261889	0.0283443223345189	0	0.0341151944604056	0.0144265134490141	0.216491764073554	0.077535390900046	0.0178915559961506	0.0413784742800492	0.0176013917189574	0.0224670302959828	0.0500336686723423	0.0100596481545238	0	0.967671708029504	0.386851334169131
E17T1	0.0825704212868031	0.0264360595829524	0.102257544086631	0.140582156208262	0.0935651004682961	0.0371366835402458	0.0684545007182154	0.0329974872643519	0.00509111340675621	0	0.0476677543909675	0	0	0.0116274476033045	0.133926407022779	0.0406458327186813	0.0768105954160069	0.0183706488865851	0.0571189132108163	0.0184628975756727	0	0.00627843661267349	0	0.957472004204336	0.331958846153015
E17T2	0.154922765574108	0.037065094756884	0.0642788210711463	0.0936815821133119	0.0366989373806121	0.0130095291785507	0	0.00902956750490084	0.0217299139846656	0.0359869881460387	0.0310439130621514	0.00100240821244066	0.0104167212588749	0	0.2124973348315	0.0838560624699066	0.092572283067243	0.0308239357160779	0.0492613989134679	0.0100934503049173	0.00550032714295304	0.00652896531024926	0	0.865757266309612	0.510674824169976
E17T3	0.0360610067085868	0.0280926789574186	0.0549809112343212	0.111140581102545	0.0218787715656781	0.0171629107570944	0	0.0177625816860115	0.0139418058245983	0.100731590616426	0.0345818074293163	0.00112571396443522	0.0179984556650723	0.00676882804651143	0.339293072617944	0.059100260349489	0.0166795841609732	0.0305097665492333	0.0320990680605402	0.0329378955637448	0.0257971842419853	0.00135552489807584	0	0.91742810840689	0.401942281607523
E32T1	0.0192138337945133	0.0400091308643517	0.0512089280821965	0.129433147374925	0.0589182858012319	0.0467901982945851	0	0.021819397183872	0.0340550764635885	0.114759464208796	0.0278871731509208	0	0.0299443113663414	0.00918277979288577	0.169147588088231	0.0816393788161825	0.0630706825818746	0.0430322310588271	0.0154065493464457	0.0326369132852554	0	0.0118449304449751	0	0.953123109964574	0.393326822517419
E32T2	0.0182343913491046	0.0521338344511468	0.0743119810814891	0.173257611081793	0.0518831968584006	0.0299375364589516	0	0.0179259340790595	0.0192306863106556	0.09660689267779	0.0369878451189832	0	0.0297630279905903	0.0337447454822079	0.0714110799802738	0.0820714841603356	0.0756035850480336	0	0.0419812446687551	0.00590594465298885	0.0890089785494404	0	0	0.893650360415588	0.541102804225185
E32T3	0.00797542896217203	0.0236173825976583	0.0206040172729973	0.135653678424958	0.0529208939227168	0.128171943410412	0	0.0174124651256339	0.0428954987628777	0.141572368656709	0.023861134674366	0	0.0779166864838118	0.0402966925270274	0.0171981399758937	0.0848674937186575	0.0624170880404451	0	0.0231192670267309	0.0494053442075665	0.0500944762093664	0	0	0.606656827619755	0.800031444609135
E40T1	0.0219796633970936	0.0641674217335092	0.0371962655450339	0.103192679591632	0.0647887461477452	0.0110988072863955	0.457355651783811	0.0231460157687603	0.0132588649829643	0	0.0276052894733367	0	0.00401408445133419	0.0223637211216897	0.0559502218552125	0.0720150692210598	0	0.0109868402434335	0	0	0	0.0108806573969881	0	0.971699148856847	0.377931715028917
E40T2	0.00632400302575564	0.0296007604432692	0.0233215304804312	0.143491511770883	0.0527005983114871	0.0211691962743022	0.0155086348234756	0.0198808513721464	0.0218235733413091	0.031358964714092	0.0555519574052011	0	0.0388835015093265	0.0214540383031257	0.364390378573797	0.0583246586554312	0	0.04665397346613	0.00387128242260402	0.0386283159116003	0.00377079089107756	0.00329147830455495	0	0.963298560777931	0.291404099876013
E40T3	0.0905978217389389	0.045681248871687	0.0811687460116753	0.0465184507920914	0.0865843982780434	0.0338157655037885	0	0.0171544513224549	0.0235392436055592	0.104778097293905	0.0367037119881387	0	0.0331737764131142	0.0148470101951606	0.234155459178514	0.0606988639010519	0.0240312476008089	0.0224239145224324	0.00574220070195131	0.019398425015896	0.011347520432544	0.00763964663224432	0	0.96638648345936	0.4094725115458
E41T1	0.0107318567846195	0.0205665678851596	0.0355952897783677	0.0844271819510546	0.0731916703400977	0.0409798005831015	0.194884805652819	0.024935064765455	0.0497722478560877	0	0.0581366095933478	0	0.0243358712521731	0.0223854770687674	0.23986348515423	0.0600993369040823	0	0.0294637604432443	0.000192065687107447	0.0195635669181582	0	0.0108753413821277	0	0.959865110071817	0.281669140933083
